# lavaan TESTsuite -- lavaan version  0.6-17 
# date:  Tue Jan 16 18:03:59 2024 
# file:  ex4.1part2.out 

    lhs op rhs group        type    lav    mpl  delta
114  f3 =~  y8     1          se  0.046  0.046  0.000
115  f3 =~  y9     1          se  0.045  0.045  0.000
116  f3 =~ y10     1          se  0.033  0.032  0.001
117  f3 =~ y11     1          se  0.028  0.027  0.001
118  f3 =~ y12     1          se  0.031  0.032 -0.001
119  f4 =~  y1     1          se  0.026  0.031 -0.005
120  f4 =~  y2     1          se  0.050  0.028  0.022
121  f4 =~  y3     1          se  0.029  0.032 -0.003
122  f4 =~  y4     1          se  0.035  0.034  0.001
123  f4 =~  y5     1          se  0.031  0.027  0.004
124  f4 =~  y6     1          se  0.028  0.032 -0.004
125  f4 =~  y7     1          se  0.036  0.030  0.006
126  f4 =~  y8     1          se  0.033  0.029  0.004
127  f4 =~  y9     1          se  0.021  0.028 -0.007
128  f4 =~ y10     1          se  0.050  0.050  0.000
129  f4 =~ y11     1          se  0.050  0.050  0.000
130  f4 =~ y12     1          se  0.048  0.048  0.000
131  y1 ~~  y1     1          se  0.049  0.049  0.000
132  y2 ~~  y2     1          se  0.062  0.062  0.000
133  y3 ~~  y3     1          se  0.049  0.049  0.000
134  y4 ~~  y4     1          se  0.052  0.052  0.000
135  y5 ~~  y5     1          se  0.056  0.056  0.000
136  y6 ~~  y6     1          se  0.056  0.056  0.000
137  y7 ~~  y7     1          se  0.049  0.049  0.000
138  y8 ~~  y8     1          se  0.047  0.047  0.000
139  y9 ~~  y9     1          se  0.045  0.045  0.000
140 y10 ~~ y10     1          se  0.056  0.056  0.000
141 y11 ~~ y11     1          se  0.058  0.058  0.000
142 y12 ~~ y12     1          se  0.050  0.050  0.000
143  f1 ~~  f1     1          se  0.000  0.000  0.000
144  f2 ~~  f2     1          se  0.000  0.000  0.000
145  f3 ~~  f3     1          se  0.000  0.000  0.000
146  f4 ~~  f4     1          se  0.000  0.000  0.000
147  f1 ~~  f2     1          se  0.069  0.057  0.012
148  f1 ~~  f3     1          se  0.072  0.055  0.017
149  f1 ~~  f4     1          se  0.072  0.056  0.016
150  f2 ~~  f3     1          se  0.063  0.057  0.006
151  f2 ~~  f4     1          se  0.062  0.056  0.006
152  f3 ~~  f4     1          se  0.060  0.056  0.004
153  y1 ~1         1          se  0.044  0.044  0.000
154  y2 ~1         1          se  0.045  0.045  0.000
155  y3 ~1         1          se  0.044  0.044  0.000
156  y4 ~1         1          se  0.045  0.045  0.000
157  y5 ~1         1          se  0.044  0.044  0.000
158  y6 ~1         1          se  0.046  0.046  0.000
159  y7 ~1         1          se  0.045  0.045  0.000
160  y8 ~1         1          se  0.045  0.045  0.000
161  y9 ~1         1          se  0.044  0.044  0.000
162 y10 ~1         1          se  0.048  0.048  0.000
163 y11 ~1         1          se  0.047  0.047  0.000
164 y12 ~1         1          se  0.046  0.046  0.000
165  f1 =~  y1     1     est.std  0.624  0.623  0.001
166  f1 =~  y2     1     est.std  0.814  0.814  0.000
167  f1 =~  y3     1     est.std  0.618  0.618  0.000
168  f1 =~  y4     1     est.std  0.025  0.027 -0.002
169  f1 =~  y5     1     est.std -0.031 -0.029 -0.002
170  f1 =~  y6     1     est.std  0.009  0.011 -0.002
171  f1 =~  y7     1     est.std  0.000 -0.006  0.006
172  f1 =~  y8     1     est.std -0.034 -0.039  0.005
173  f1 =~  y9     1     est.std  0.053  0.047  0.006
174  f1 =~ y10     1     est.std -0.044 -0.040 -0.004
175  f1 =~ y11     1     est.std -0.001  0.004 -0.005
176  f1 =~ y12     1     est.std  0.031  0.035 -0.004
177  f2 =~  y1     1     est.std  0.002  0.008 -0.006
178  f2 =~  y2     1     est.std  0.014  0.022 -0.008
179  f2 =~  y3     1     est.std -0.047 -0.041 -0.006
180  f2 =~  y4     1     est.std  0.652  0.652  0.000
181  f2 =~  y5     1     est.std  0.756  0.756  0.000
182  f2 =~  y6     1     est.std  0.697  0.697  0.000
183  f2 =~  y7     1     est.std  0.003  0.003  0.000
184  f2 =~  y8     1     est.std  0.003  0.002  0.001
185  f2 =~  y9     1     est.std -0.007 -0.007  0.000
186  f2 =~ y10     1     est.std  0.005  0.007 -0.002
187  f2 =~ y11     1     est.std  0.011  0.014 -0.003
188  f2 =~ y12     1     est.std -0.039 -0.037 -0.002
189  f3 =~  y1     1     est.std  0.079  0.073  0.006
190  f3 =~  y2     1     est.std  0.003 -0.005  0.008
191  f3 =~  y3     1     est.std -0.052 -0.057  0.005
192  f3 =~  y4     1     est.std  0.002 -0.002  0.004
193  f3 =~  y5     1     est.std -0.019 -0.023  0.004
194  f3 =~  y6     1     est.std  0.036  0.031  0.005
195  f3 =~  y7     1     est.std  0.745  0.745  0.000
196  f3 =~  y8     1     est.std  0.724  0.724  0.000
197  f3 =~  y9     1     est.std  0.690  0.689  0.001
198  f3 =~ y10     1     est.std -0.011 -0.010 -0.001
199  f3 =~ y11     1     est.std  0.001  0.001  0.000
200  f3 =~ y12     1     est.std  0.008  0.009 -0.001
201  f4 =~  y1     1     est.std -0.005 -0.021  0.016
202  f4 =~  y2     1     est.std  0.062  0.041  0.021
203  f4 =~  y3     1     est.std -0.012 -0.027  0.015
204  f4 =~  y4     1     est.std -0.016 -0.018  0.002
205  f4 =~  y5     1     est.std  0.018  0.016  0.002
206  f4 =~  y6     1     est.std -0.010 -0.012  0.002
207  f4 =~  y7     1     est.std  0.019  0.018  0.001
208  f4 =~  y8     1     est.std -0.016 -0.016  0.000
209  f4 =~  y9     1     est.std  0.001 -0.001  0.002
210  f4 =~ y10     1     est.std  0.739  0.740 -0.001
211  f4 =~ y11     1     est.std  0.828  0.829 -0.001
212  f4 =~ y12     1     est.std  0.671  0.670  0.001
213  y1 ~~  y1     1     est.std  0.564  0.564  0.000
214  y2 ~~  y2     1     est.std  0.352  0.352  0.000
215  y3 ~~  y3     1     est.std  0.569  0.569  0.000
216  y4 ~~  y4     1     est.std  0.592  0.592  0.000
217  y5 ~~  y5     1     est.std  0.419  0.419  0.000
218  y6 ~~  y6     1     est.std  0.581  0.581  0.000
219  y7 ~~  y7     1     est.std  0.476  0.476  0.000
220  y8 ~~  y8     1     est.std  0.467  0.467  0.000
221  y9 ~~  y9     1     est.std  0.474  0.474  0.000
222 y10 ~~ y10     1     est.std  0.594  0.594  0.000
223 y11 ~~ y11     1     est.std  0.413  0.413  0.000
224 y12 ~~ y12     1     est.std  0.580  0.580  0.000
225  f1 ~~  f1     1     est.std  1.000  1.000  0.000
226  f2 ~~  f2     1     est.std  1.000  1.000  0.000
227  f3 ~~  f3     1     est.std  1.000  1.000  0.000
228  f4 ~~  f4     1     est.std  1.000  1.000  0.000
229  f1 ~~  f2     1     est.std -0.024 -0.039  0.015
230  f1 ~~  f3     1     est.std -0.009  0.007 -0.016
231  f1 ~~  f4     1     est.std -0.022 -0.002 -0.020
232  f2 ~~  f3     1     est.std  0.023  0.029 -0.006
233  f2 ~~  f4     1     est.std -0.120 -0.121  0.001
234  f3 ~~  f4     1     est.std -0.029 -0.028 -0.001
235  y1 ~1         1     est.std  0.008  0.008  0.000
236  y2 ~1         1     est.std  0.033  0.033  0.000
237  y3 ~1         1     est.std  0.003  0.003  0.000
238  y4 ~1         1     est.std  0.073  0.073  0.000
239  y5 ~1         1     est.std  0.063  0.063  0.000
240  y6 ~1         1     est.std  0.062  0.062  0.000
241  y7 ~1         1     est.std -0.004 -0.004  0.000
242  y8 ~1         1     est.std  0.009  0.009  0.000
243  y9 ~1         1     est.std  0.021  0.021  0.000
244 y10 ~1         1     est.std -0.037 -0.037  0.000
245 y11 ~1         1     est.std  0.002  0.002  0.000
246 y12 ~1         1     est.std -0.002 -0.002  0.000
247  f1 =~  y1     1 est.std.all  0.637  0.637  0.000
248  f1 =~  y2     1 est.std.all  0.808  0.808  0.000
249  f1 =~  y3     1 est.std.all  0.631  0.631  0.000
250  f1 =~  y4     1 est.std.all  0.025  0.027 -0.002
251  f1 =~  y5     1 est.std.all -0.031 -0.029 -0.002
252  f1 =~  y6     1 est.std.all  0.009  0.010 -0.001
253  f1 =~  y7     1 est.std.all  0.000 -0.006  0.006
254  f1 =~  y8     1 est.std.all -0.034 -0.040  0.006
255  f1 =~  y9     1 est.std.all  0.054  0.049  0.005
256  f1 =~ y10     1 est.std.all -0.041 -0.037 -0.004
257  f1 =~ y11     1 est.std.all -0.001  0.004 -0.005
258  f1 =~ y12     1 est.std.all  0.031  0.035 -0.004
259  f2 =~  y1     1 est.std.all  0.002  0.008 -0.006
260  f2 =~  y2     1 est.std.all  0.014  0.022 -0.008
261  f2 =~  y3     1 est.std.all -0.048 -0.042 -0.006
262  f2 =~  y4     1 est.std.all  0.646  0.646  0.000
263  f2 =~  y5     1 est.std.all  0.760  0.760  0.000
264  f2 =~  y6     1 est.std.all  0.674  0.674  0.000
265  f2 =~  y7     1 est.std.all  0.003  0.003  0.000
266  f2 =~  y8     1 est.std.all  0.003  0.002  0.001
267  f2 =~  y9     1 est.std.all -0.007 -0.007  0.000
