# lavaan TESTsuite -- lavaan version  0.6-17 
# date:  Sat Jan 20 20:51:56 2024 
# file:  ex5.14.out 

    lhs op rhs group        type   lav   mpl delta
120  y3 ~~  y3     2     est.std 0.466 0.466     0
121  y4 ~~  y4     2     est.std 0.616 0.616     0
122  y5 ~~  y5     2     est.std 0.512 0.512     0
123  y6 ~~  y6     2     est.std 0.485 0.485     0
124  f1 ~~  f1     2     est.std 0.280 0.280     0
125  f2 ~~  f2     2     est.std 0.214 0.214     0
126  f1 ~~  f2     2     est.std 0.376 0.376     0
127  f1 =~  y1     1 est.std.all 0.916 0.916     0
128  f1 =~  y2     1 est.std.all 0.919 0.919     0
129  f1 =~  y3     1 est.std.all 0.925 0.925     0
130  f2 =~  y4     1 est.std.all 0.917 0.917     0
131  f2 =~  y5     1 est.std.all 0.939 0.939     0
132  f2 =~  y6     1 est.std.all 0.923 0.923     0
133  f1  ~  x1     1 est.std.all 0.517 0.517     0
134  f1  ~  x2     1 est.std.all 0.497 0.497     0
135  f1  ~  x3     1 est.std.all 0.429 0.429     0
136  f2  ~  x1     1 est.std.all 0.663 0.663     0
137  f2  ~  x2     1 est.std.all 0.497 0.497     0
138  f2  ~  x3     1 est.std.all 0.252 0.252     0
139  y1 ~~  y1     1 est.std.all 0.160 0.160     0
140  y2 ~~  y2     1 est.std.all 0.155 0.155     0
141  y3 ~~  y3     1 est.std.all 0.145 0.145     0
142  y4 ~~  y4     1 est.std.all 0.159 0.159     0
143  y5 ~~  y5     1 est.std.all 0.119 0.119     0
144  y6 ~~  y6     1 est.std.all 0.148 0.148     0
145  f1 ~~  f1     1 est.std.all 0.267 0.267     0
146  f2 ~~  f2     1 est.std.all 0.210 0.210     0
147  f1 ~~  f2     1 est.std.all 0.334 0.334     0
148  f1 =~  y1     2 est.std.all 0.919 0.919     0
149  f1 =~  y2     2 est.std.all 0.919 0.919     0
150  f1 =~  y3     2 est.std.all 0.754 0.754     0
151  f2 =~  y4     2 est.std.all 0.921 0.921     0
152  f2 =~  y5     2 est.std.all 0.933 0.933     0
153  f2 =~  y6     2 est.std.all 0.937 0.937     0
154  f1  ~  x1     2 est.std.all 0.466 0.466     0
155  f1  ~  x2     2 est.std.all 0.536 0.536     0
156  f1  ~  x3     2 est.std.all 0.417 0.417     0
157  f2  ~  x1     2 est.std.all 0.634 0.634     0
158  f2  ~  x2     2 est.std.all 0.503 0.503     0
159  f2  ~  x3     2 est.std.all 0.288 0.288     0
160  y1 ~~  y1     2 est.std.all 0.156 0.156     0
161  y2 ~~  y2     2 est.std.all 0.155 0.155     0
162  y3 ~~  y3     2 est.std.all 0.432 0.432     0
163  y4 ~~  y4     2 est.std.all 0.151 0.151     0
164  y5 ~~  y5     2 est.std.all 0.129 0.129     0
165  y6 ~~  y6     2 est.std.all 0.122 0.122     0
166  f1 ~~  f1     2 est.std.all 0.280 0.280     0
167  f2 ~~  f2     2 est.std.all 0.214 0.214     0
168  f1 ~~  f2     2 est.std.all 0.376 0.376     0
169  f1 =~  y1     1 est.std.nox 0.916 0.916     0
170  f1 =~  y2     1 est.std.nox 0.919 0.919     0
171  f1 =~  y3     1 est.std.nox 0.925 0.925     0
172  f2 =~  y4     1 est.std.nox 0.917 0.917     0
173  f2 =~  y5     1 est.std.nox 0.939 0.939     0
174  f2 =~  y6     1 est.std.nox 0.923 0.923     0
175  f1  ~  x1     1 est.std.nox 0.302 0.302     0
176  f1  ~  x2     1 est.std.nox 0.345 0.345     0
177  f1  ~  x3     1 est.std.nox 0.421 0.421     0
178  f2  ~  x1     1 est.std.nox 0.388 0.388     0
179  f2  ~  x2     1 est.std.nox 0.344 0.344     0
180  f2  ~  x3     1 est.std.nox 0.247 0.247     0
181  y1 ~~  y1     1 est.std.nox 0.160 0.160     0
182  y2 ~~  y2     1 est.std.nox 0.155 0.155     0
183  y3 ~~  y3     1 est.std.nox 0.145 0.145     0
184  y4 ~~  y4     1 est.std.nox 0.159 0.159     0
185  y5 ~~  y5     1 est.std.nox 0.119 0.119     0
186  y6 ~~  y6     1 est.std.nox 0.148 0.148     0
187  f1 ~~  f1     1 est.std.nox 0.267 0.267     0
188  f2 ~~  f2     1 est.std.nox 0.210 0.210     0
189  f1 ~~  f2     1 est.std.nox 0.334 0.334     0
190  f1 =~  y1     2 est.std.nox 0.919 0.919     0
191  f1 =~  y2     2 est.std.nox 0.919 0.919     0
192  f1 =~  y3     2 est.std.nox 0.754 0.754     0
193  f2 =~  y4     2 est.std.nox 0.921 0.921     0
194  f2 =~  y5     2 est.std.nox 0.933 0.933     0
195  f2 =~  y6     2 est.std.nox 0.937 0.937     0
196  f1  ~  x1     2 est.std.nox 0.270 0.270     0
197  f1  ~  x2     2 est.std.nox 0.366 0.366     0
198  f1  ~  x3     2 est.std.nox 0.394 0.394     0
199  f2  ~  x1     2 est.std.nox 0.367 0.367     0
200  f2  ~  x2     2 est.std.nox 0.343 0.343     0
201  f2  ~  x3     2 est.std.nox 0.272 0.272     0
202  y1 ~~  y1     2 est.std.nox 0.156 0.156     0
203  y2 ~~  y2     2 est.std.nox 0.155 0.155     0
204  y3 ~~  y3     2 est.std.nox 0.432 0.432     0
205  y4 ~~  y4     2 est.std.nox 0.151 0.151     0
206  y5 ~~  y5     2 est.std.nox 0.129 0.129     0
207  y6 ~~  y6     2 est.std.nox 0.122 0.122     0
208  f1 ~~  f1     2 est.std.nox 0.280 0.280     0
209  f2 ~~  f2     2 est.std.nox 0.214 0.214     0
210  f1 ~~  f2     2 est.std.nox 0.376 0.376     0

                     fit       lav       mpl  delta
1                   npar    35.000    35.000  0.000
2                   fmin     0.019        NA     NA
3                  chisq    41.735    41.735  0.000
4                     df    43.000    43.000  0.000
5                 pvalue     0.526     0.526  0.000
6         baseline.chisq  8731.537  8731.537  0.000
7            baseline.df    66.000    66.000  0.000
8        baseline.pvalue     0.000     0.000  0.000
9                    cfi     1.000     1.000  0.000
10                   tli     1.000     1.000  0.000
11                  nnfi     1.000        NA     NA
12                   rfi     0.993        NA     NA
13                   nfi     0.995        NA     NA
14                  pnfi     0.648        NA     NA
15                   ifi     1.000        NA     NA
16                   rni     1.000        NA     NA
17                  logl -8811.413 -8811.413  0.000
18     unrestricted.logl -8790.546 -8790.546  0.000
19                   aic 17692.826 17692.826  0.000
20                   bic 17867.933 17867.933  0.000
21                  bic2 17756.765 17756.765  0.000
22                 rmsea     0.000     0.000  0.000
23        rmsea.ci.lower     0.000     0.000  0.000
24        rmsea.ci.upper     0.028     0.028  0.000
25        rmsea.ci.level     0.900        NA     NA
26          rmsea.pvalue     1.000     1.000  0.000
27        rmsea.close.h0     0.050        NA     NA
28 rmsea.notclose.pvalue     0.000        NA     NA
